"","Model","Vars","Mean","LCI","UCI","Val_parsed_log","Model_parsed_log"
"1","CO2eq","Var1Oxygen_mg_raw_1","43.3%","42.9%","43.6%","paste(""Oxygen (mg L""^-1, "")"")","paste(""CO""[2], ""-eq flux (log""[10], "" g m""^2, "" day""^-1, "" + 1.8)"")"
"2","CO2eq","Var1TotalN_raw_1","8.4%","8.1%","8.8%","paste(""Nitrogen (log""[10], "" N mg L""^-1, "")"")","paste(""CO""[2], ""-eq flux (log""[10], "" g m""^2, "" day""^-1, "" + 1.8)"")"
"3","CO2eq","Var1Stock_tCha_raw_1","6.7%","6.3%","7.0%","paste(""C Stock (log""[10], "" tons C ha""^-1, "")"")","paste(""CO""[2], ""-eq flux (log""[10], "" g m""^2, "" day""^-1, "" + 1.8)"")"
"4","CO2eq","Var1WaterTemp_raw_1",NA,NA,NA,NA,NA
"5","CO2eq","Var1TotalP_raw_1",NA,NA,NA,NA,NA
"6","CH4","Var1Oxygen_mg_raw_1","36.6%","36.0%","37.2%","paste(""Oxygen (mg L""^-1, "")"")","paste(""CH""[4], "" flux (log""[10], "" g m""^2, "" day""^-1, "" + 0.002)"")"
"7","CH4","Var1TotalN_raw_1","33.9%","33.3%","34.5%","paste(""Nitrogen (log""[10], "" N mg L""^-1, "")"")","paste(""CH""[4], "" flux (log""[10], "" g m""^2, "" day""^-1, "" + 0.002)"")"
"8","CH4","Var1Stock_tCha_raw_1","31.6%","31.1%","32.2%","paste(""C Stock (log""[10], "" tons C ha""^-1, "")"")","paste(""CH""[4], "" flux (log""[10], "" g m""^2, "" day""^-1, "" + 0.002)"")"
"9","CH4","Var1WaterTemp_raw_1","15.2%","14.6%","15.8%","""Water temp ("" * ~degree * C * "")""","paste(""CH""[4], "" flux (log""[10], "" g m""^2, "" day""^-1, "" + 0.002)"")"
"10","CH4","Var1TotalP_raw_1","24.9%","24.3%","25.5%","paste(""Phosphorous (log""[10], "" P mg L""^-1, "")"")","paste(""CH""[4], "" flux (log""[10], "" g m""^2, "" day""^-1, "" + 0.002)"")"
"11","CO2","Var1Oxygen_mg_raw_1","100%",NA,NA,"paste(""Oxygen (mg L""^-1, "")"")","paste(""CO""[2], "" flux (log""[10], "" g m""^2, "" day""^-1, "" + 1.8)"")"
"12","CO2","Var1TotalN_raw_1",NA,NA,NA,NA,NA
"13","CO2","Var1Stock_tCha_raw_1",NA,NA,NA,NA,NA
"14","CO2","Var1WaterTemp_raw_1",NA,NA,NA,NA,NA
"15","CO2","Var1TotalP_raw_1",NA,NA,NA,NA,NA
